Synonym,Root Canonical Name
Conocybe cf. kuehneriana,Conocybe
Conocybe cf. kuhneriana,Conocybe
Conocybe cf. mairei,Conocybe
Conocybe cf. mesospora,Conocybe
Conocybe cf. moseri,Conocybe
Conocybe cf. murinacea,Conocybe
Conocybe cf. ochracea,Conocybe
Conocybe cf. pilosella,Conocybe
Conocybe cf. pseudopilosella,Conocybe
Conocybe cf. pubescens,Conocybe
Conocybe cf. pygmaeoaffinis,Conocybe
Conocybe cf. rickeniana,Conocybe
Conocybe cf. rickenii,Conocybe
Conocybe cf. rostellata,Conocybe
Conocybe cf. rugosa,Conocybe
Conocybe cf. siennophylla,Conocybe
Conocybe cf. singeriana,Conocybe
Conocybe cf. sordida,Conocybe
Conocybe cf. striaepes,Conocybe
Conocybe cf. striatipes,Conocybe
Conocybe cf. subpallida var. subalpina,Conocybe
Conocybe cf. subpubescens,Conocybe
Conocybe cf. tenera,Conocybe
Conocybe cf. togularis,Conocybe
Conocybe cf. vestita,Conocybe
Conocybe cf. vexans,Conocybe
Pholiotina,Conocybe
Galerella,Conocybe
Cortinarius orellanoides,Cortinarius rubellus
Cortinarius speciosus,Cortinarius rubellus
Cortinarius speciosissimus,Cortinarius rubellus
Dacrymyces macrosporus,Mycogloea macrospora
Fusisporium obtusum,Mycogloea macrospora
Phoma clematidina,Ascochyta clematidina
Helminthosporium obclavatum,Pseudospiropes obclavatus
Lactarius cyathula,Lactarius obscuratus
Lactarius tabidus,Lactarius omphaliiformis
Hebeloma latifolium,Hebeloma sacchariolens
Hebeloma pallidoluctuosum,Hebeloma sacchariolens
Agaricus trinii,Inocybe trinii
Astrosporina trinii,Inocybe bresadolae
Mytilinidion cf. acicola,Mytilinidion
Lecidea brujeriana f. ochrodes,Ainoa mooreana
Lecidea coarctata var. brujeriana,Ainoa mooreana
Biatora torellii,Ainoa mooreana
Biatora lopadioides,Ainoa mooreana
Lecidea brujeriana,Ainoa mooreana
Biatora brujeriana,Ainoa mooreana
Lecidea mooreana,Ainoa mooreana
Lecidea lopadioides,Ainoa mooreana
Trapelia torellii,Ainoa mooreana
Trapelia mooreana,Ainoa mooreana
Phoma macrocapsa,Leptosphaeria macrocapsa
Lichen bellidiflorus,Cladonia bellidiflora
Sphaeria planiuscula,Didymella planiuscula
Xylaria tulasnei,Podosordaria tulasnei
Cladonia squamosa var. leptophylla,Cladonia peziziformis
Lichen peziziformis,Cladonia peziziformis
Lichen capitatus,Chaenotheca furfuracea
Cenomyce leptophylla,Cladonia peziziformis
Cladonia capitata,Cladonia peziziformis
Cladonia leptophylla,Cladonia peziziformis
Peziza subdiaphana,Hyalinia subdiaphana
Agaricus viperinus,Volvaria viperina
Radulomyces sibiricus,Hyphoderma sibiricum
Hendersonia polycystis,Splanchnonema argus
Stegonsporium muricatum,Splanchnonema argus
Sphaeria argus,Splanchnonema argus
Massaria argus,Splanchnonema argus
Myxocyclus polycystis,Splanchnonema argus
Agaricus alneus,Schizophyllum commune
Agaricus multifidus,Schizophyllum commune
Apus alneus,Schizophyllum commune
Saprolegnia androgyna,Achlya androgyna
Saprolegnia treleaseana,Achlya androgyna
Aplanes androgynus,Achlya androgyna
Achlya treleaseana,Achlya androgyna
Sphaerella perexigua,Mycosphaerella perexigua
Phallus bambusinus,Mutinus ravenelii
Cynophallus bambusinus,Mutinus ravenelii
Lactarius fuscus,Lactarius mammosus
Lactarius confusus,Lactarius mammosus
Paecilomyces ochraceus,Sarocladium ochraceum
Acremonium ochraceum,Sarocladium ochraceum
Polyporus callosus,Antrodia serialis
Polyporus serialis,Antrodia serialis
Trametes serialis,Antrodia serialis
Poria callosa,Antrodia serialis
Coriolellus serialis,Antrodia serialis
Hygrophorus minutulus,Hygrocybe minutula
Sphaeria nigrella,Didymella nigrella
Ascomyces tosquinetii,Taphrina tosquinetii
Stropharia fimetaria,Psilocybe fimetaria
Lepiotella,Chamaemyces
Drosella,Chamaemyces
Agaricus aethiops,Entoloma aethiops
Leptonia aethiops,Entoloma aethiops
Sporocybe albida,Pachnocybe albida
Septoria lychnidis,Caryophylloseptoria lychnidis
Polyporus destructor,Antrodia vaillantii
Tyromyces destructor,Antrodia gossypium
Poria gossypium,Antrodia gossypium
Leptoporus destructor var. resupinatus,Antrodia gossypium
Tyromyces resupinatus,Antrodia gossypium
Hygrophorus sciophanus,Gliophorus perplexus
Hygrocybe sciophana,Gliophorus perplexus
Hygrophorus perplexus,Gliophorus perplexus
Hygrocybe perplexa,Gliophorus perplexus
Hygrocybe psittacina var. perplexa,Gliophorus perplexus
Elaphomyces variegatus,Elaphomyces muricatus
Lachnella acutipila var. laetior,Lachnum laetius
Dasyscyphus laetior,Lachnum laetius
Hypochnus isabellinus,Botryohypochnus isabellinus
Thelephora isabellina,Botryohypochnus isabellinus
Corticium isabellinum,Botryohypochnus isabellinus
Hypochnus argillaceus,Botryohypochnus isabellinus
Zygodesmus argillaceus,Botryohypochnus isabellinus
Zygodesmus marginatus,Botryohypochnus isabellinus
Tomentella isabellina,Botryohypochnus isabellinus
Botryobasidium isabellinum,Botryohypochnus isabellinus
Lecidea lugubris,Schaereria cinereorufa
Schaereria lugubris,Ropalospora lugubris f. lugubris
Psorotichia lugubris,Schaereria cinereorufa
Fuscidea lugubris,Ropalospora lugubris f. lugubris
Fuscidea lugubris f. lugubris,Ropalospora lugubris f. lugubris
Peziza epipora,Orbilia epipora
Monilia variabilis,Oospora variabilis
Lichen islandicus g tenuissimus,Cetraria aculeata
Lichen aculeatus,Cetraria aculeata
Lichen spadiceus,Cetraria aculeata
Cornicularia aculeata,Cetraria aculeata
Cornicularia aculeata var. spadicea,Cetraria aculeata
Coelocaulon aculeatum,Cetraria aculeata
Cetraria aculeata var. sorediata,Cetraria aculeata
Cornicularia aculeata var. sorediata,Cetraria aculeata
Cornicularia tenuissima,Cetraria aculeata
Coelocaulon aculeatum f. sorediatum,Cetraria aculeata
Sphaeria vincae,Diaporthe vincae
Wynnella auricula,Helvella silvicola
Peziza cochleata,Otidea cochleata
Otidea silvicola,Helvella silvicola
Otidea neglecta,Helvella silvicola
Wynnella silvicola,Helvella silvicola
Agaricus elaeodes,Hypholoma elaeodes
Galzinia occidentalis,Hyphoderma occidentale
Hyphoderma subdefinitum,Hyphoderma occidentale
Didymotrichiella inconspicua,Capronia inconspicua
Herpotrichiella inconspicua,Capronia inconspicua
Sclerotinia sphaerosperma,Botryotinia sphaerosperma
Botrytis sphaerosperma,Botryotinia sphaerosperma
Peziza violacea,Peziza pseudoviolacea
Peziza stercoraria,Ascobolus stercorarius
Peziza fusca,Tapesia fusca
Ascobolus furfuraceus,Ascobolus stercorarius
Ascobolus aerugineus,Ascobolus stercorarius
Parmelia ambigua var. hyperopta,Parmeliopsis hyperopta
Parmelia hyperopta,Parmeliopsis hyperopta
Foraminella hyperopta,Parmeliopsis hyperopta
Phragmobasidiomycetidae,Basidiomycota
Buellia verruculosa,Buellia aethalea
Lecidea ocellata subsp. praeponens,Buellia ocellata
Lecidea verruculosa,Buellia aethalea
Lecidea verruculosa var. praeponens,Buellia ocellata
Lecidea petraea var. ocellata,Buellia ocellata
Lecidea ocellata,Buellia ocellata
Lecidea kaleida,Buellia ocellata
Lecidea ocellata * praeponens,Buellia ocellata
